ticker,name,listed_date,sic_code,market_cap,weighted_shares
AMPI,"Advanced Merger Partners, Inc.",2021-04-22,6770,352187500.0,35937500.0
AMPL,"Amplitude, Inc. Class A Common Stock",2021-09-28,7372,1649389467.2632,111519832.0
AMPS,"Altus Power, Inc.",2021-12-10,4911,1077092465.51,153650851.0
AMPY,Amplify Energy Corp.,2016-10-24,1311,314282572.59999996,38327143.0
AMR,"Alpha Metallurgical Resources, Inc.",2016-08-18,1221,2723906023.86,18712644.0
AMRC,"Ameresco, Inc.",2010-07-22,1700,2344355621.0,51808964.0
AMRK,"A-Mark Precious Metals, Inc.",2014-03-17,5094,712256658.6,23028020.0
AMRS,Amyris Inc.,2010-09-28,2860,593070278.78,319714436.0
AMRX,"Amneal Pharmaceuticals, Inc. Class A Common Stock",2018-05-07,2834,459208082.34,150807252.0
AMS,American Shared Hospital Services,1984-09-07,8071,13738539.999999998,6079000.0
AMSC,American Superconductor Corp,1991-12-11,3621,148307348.8,28520644.0
